Day,unprotectedC_fast,unprotectedC_slow,unprotectedC_deadmic,protectedC,CO2,microbeC
0,0.00447201207336,0.366343003542,0.00673193989841,5.10056689893,0.00135536909768,0.023400709077
1,0.00450320855393,0.366345028674,0.00673173321994,5.10056129854,0.00271148116326,0.0233833118908
2,0.00453185708551,0.366347159356,0.00673139999062,5.1005561556,0.004068278908,0.023367645487
3,0.00455816562121,0.366349384662,0.00673095823492,5.10055143057,0.00542570975862,0.0233535605754
4,0.00458232506358,0.366351694584,0.00673042415686,5.10054708723,0.00678372545765,0.0233409203845
5,0.00460451067786,0.366354079962,0.00672981230509,5.10054309243,0.00814228169904,0.023329599614
6,0.00462488338548,0.366356532417,0.00672913572356,5.10053941585,0.0095013377957,0.0233194834757
7,0.00464359094862,0.366359044289,0.00672840608898,5.10053602973,0.0108608563761,0.0233104668163
8,0.00466076905507,0.366361608577,0.00672763383617,5.10053290866,0.0122208031069,0.0233024533133
9,0.0046765423123,0.366364218884,0.00672682827242,5.10053002942,0.0135811464403,0.0232953547392
10,0.00469102515833,0.366366869376,0.00672599768188,5.10052737076,0.0149418573815,0.0232890902872
11,0.00470432269675,0.366369554725,0.00672514942071,5.10052491323,0.0163029092782,0.0232835859539
12,0.00471653146229,0.366372270078,0.00672429000393,5.10052263907,0.0176642776256,0.0232787739727
13,0.0047277401228,0.366375011008,0.00672342518465,5.10052053203,0.0190259398901,0.0232745922955
14,0.00473803012321,0.366377773488,0.00672256002623,5.10051857727,0.0203878753465,0.0232709841168
15,0.00474747627614,0.366380553852,0.00672169896819,5.10051676123,0.0217500649292,0.0232678974382
16,0.00475614730386,0.366383348766,0.00672084588623,5.1005150715,0.023112491096,0.023265284668
17,0.00476410633559,0.366386155202,0.00672000414694,5.10051349677,0.0244751377037,0.0232631022553
18,0.0047714113639,0.366388970411,0.00671917665771,5.1005120267,0.0258379898929,0.0232613103536
19,0.00477811566353,0.3663917919,0.0067183659121,5.10051065186,0.0272010339836,0.0232598725126
20,0.00478426817599,0.36639461741,0.00671757403122,5.10050936365,0.0285642573789,0.0232587553952
21,0.00478991386255,0.366397444897,0.00671680280143,5.10050815419,0.0299276484766,0.0232579285187
